City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
112,Attawapiskat,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
113,Kavaratti,IN,10.5669,72.642,81.19,67,0,6.78,clear sky
114,Prince Rupert,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
115,Isabela,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
116,Hasaki,JP,36.5,137.8667,33.01,90,46,4.18,light snow
117,Sulangan,PH,6.3717,125.5714,77.38,83,100,6.55,overcast clouds
118,Yumen,CN,20.35,110.1288,66.2,100,20,2.24,few clouds
119,Iskateley,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
120,Ust-Nera,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
121,Caravelas,BR,-2.1042,-56.4869,94.17,45,74,5.06,light rain
122,Acarau,BR,-2.1042,-56.4869,94.17,45,74,5.06,light rain
123,Leningradskiy,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
124,Shimoda,JP,36.5,137.8667,33.01,90,46,4.18,light snow
125,Vagay,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
126,Paraiso,MX,18.7333,-103.6833,73.4,73,1,5.77,clear sky
127,Statesboro,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
128,Cidreira,BR,-2.1042,-56.4869,94.17,45,74,5.06,light rain
129,Laguna,BR,-2.1042,-56.4869,94.17,45,74,5.06,light rain
130,Biak,ID,-9.6567,120.2641,78.13,82,94,5.82,overcast clouds
131,Luderitz,NA,-26.6481,15.1594,73.72,55,0,31.09,clear sky
132,San Pedro,PH,14.35,121.0167,79.0,78,20,1.14,few clouds
133,Saint-Pierre,RE,-21.3393,55.4781,80.6,78,33,4.61,scattered clouds
134,Lumby,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
135,Walvis Bay,NA,-26.6481,15.1594,73.72,55,0,31.09,clear sky
136,San Vicente,PH,6.3717,125.5714,77.38,83,100,6.55,overcast clouds
137,Paita,PE,-5.0892,-81.1144,91.4,46,20,13.8,few clouds
138,Jomalig,PH,6.3717,125.5714,77.38,83,100,6.55,overcast clouds
139,Port Blair,IN,10.5669,72.642,81.19,67,0,6.78,clear sky
140,Isangel,VU,-16.0667,167.3833,78.93,68,4,6.08,clear sky
141,Novi Pazar,RS,43.1367,20.5122,45.86,74,39,4.41,scattered clouds
142,Norman Wells,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
143,Ketrzyn,PL,54.0768,21.3753,3.27,93,65,8.57,broken clouds
144,Haines Junction,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
145,Krasnyye Tkachi,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
146,Bambanglipuro,ID,-9.6567,120.2641,78.13,82,94,5.82,overcast clouds
147,Vwawa,TZ,-9.1167,32.9333,63.7,91,52,2.1,light rain
148,Manavalakurichi,IN,10.5669,72.642,81.19,67,0,6.78,clear sky
149,Torbay,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
150,Tamiahua,MX,18.7333,-103.6833,73.4,73,1,5.77,clear sky
151,Rovaniemi,FI,66.5,25.7167,14.0,85,0,9.22,clear sky
152,Velyka Lepetykha,UA,47.1757,33.9436,25.61,79,100,10.71,overcast clouds
153,Cockburn Town,TC,21.4612,-71.1419,80.6,69,40,12.66,scattered clouds
154,Alofi,NU,-19.0595,-169.9187,77.0,94,80,3.44,broken clouds
155,East London,ZA,-34.5322,20.0403,69.8,56,59,9.22,broken clouds
156,Temple,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
157,Lasa,CN,20.35,110.1288,66.2,100,20,2.24,few clouds
158,Derzhavinsk,KZ,44.3583,77.9753,33.17,90,100,2.19,overcast clouds
159,Thinadhoo,MV,-0.6,73.0833,81.9,71,44,8.93,scattered clouds
160,Portmore,JM,17.9702,-76.8672,89.01,61,20,27.63,few clouds
161,Raudeberg,NO,61.9875,5.1352,25.0,65,0,4.36,clear sky
162,Paris,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
163,Belushya Guba,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
164,Windsor,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
165,Vila Velha,BR,-2.1042,-56.4869,94.17,45,74,5.06,light rain
166,Amapa,BR,-2.1042,-56.4869,94.17,45,74,5.06,light rain
167,Iqaluit,CA,62.456,-114.3525,-47.2,66,1,3.44,clear sky
168,Pakokku,MM,21.3333,95.1,67.53,42,0,3.53,clear sky
169,Faya,SA,18.3851,42.4509,57.2,62,0,6.33,clear sky
170,Natalio,PY,-26.7167,-55.0833,92.41,26,0,3.33,clear sky
171,Bathsheba,BB,13.2167,-59.5167,82.4,61,75,27.63,broken clouds
172,Grand River South East,MU,-20.4081,57.7,80.6,74,20,10.36,few clouds
173,Brae,GB,60.3964,-1.353,33.8,60,75,8.05,broken clouds
174,Neuquen,AR,-54.8,-68.3,57.2,54,0,16.11,clear sky
175,Ahipara,NZ,-46.6,168.3333,54.05,85,100,5.1,overcast clouds
176,Beidao,CN,20.35,110.1288,66.2,100,20,2.24,few clouds
177,Meulaboh,ID,-9.6567,120.2641,78.13,82,94,5.82,overcast clouds
178,Mataura,PF,-23.1203,-134.9692,77.38,72,96,12.06,overcast clouds
179,Igarka,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
180,Sentyabrskiy,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
181,Padang,ID,-9.6567,120.2641,78.13,82,94,5.82,overcast clouds
182,San Quintin,MX,18.7333,-103.6833,73.4,73,1,5.77,clear sky
183,Borovoy,RU,54.1135,47.6231,-6.23,91,100,13.78,overcast clouds
184,Moron,MN,49.0333,104.0833,5.83,86,0,4.03,clear sky
185,Pisco,PE,-5.0892,-81.1144,91.4,46,20,13.8,few clouds
186,Haicheng,CN,20.35,110.1288,66.2,100,20,2.24,few clouds
187,Nome,US,22.0752,-159.319,59.0,77,1,10.36,clear sky
188,Faanui,PF,-23.1203,-134.9692,77.38,72,96,12.06,overcast clouds
